math_grade,school,sex,age,address,famsize,pstatus,medu,fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences
10,0,0,15,0,0,1,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2
5,0,0,15,0,0,1,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2
13,0,0,15,0,0,1,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8
8,0,0,15,0,0,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
10,0,0,15,0,0,1,3,3,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8
11,0,0,15,0,0,1,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
0,0,0,15,0,0,1,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0
8,0,0,15,0,1,1,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2
16,0,0,15,0,1,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12
11,0,0,15,1,0,0,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10
15,0,0,15,1,0,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0
0,0,0,15,1,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0
10,0,0,15,1,0,1,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2
11,0,0,15,1,0,1,1,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0
11,0,0,15,1,0,1,1,2,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2
15,0,0,15,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2
12,0,0,15,1,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4
8,0,0,15,1,0,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8
6,0,0,15,1,0,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0
0,0,0,15,1,0,1,3,2,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0
6,0,0,15,1,0,1,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26
15,0,0,15,1,0,1,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2
14,0,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4
18,0,0,15,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4
0,0,0,15,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0
11,0,0,15,1,0,1,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0
8,0,0,15,1,0,1,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6
7,0,0,15,1,0,1,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2
9,0,0,15,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0
11,0,0,15,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2
15,0,0,15,1,0,1,4,4,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0
13,0,0,15,1,1,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6
11,0,0,15,1,1,0,3,4,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0
6,0,0,15,1,1,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8
10,0,0,15,1,1,1,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10
6,0,0,15,1,1,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10
13,0,0,15,1,1,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2
10,0,0,15,1,1,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0
11,0,0,16,0,0,1,2,2,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6
10,0,0,16,0,0,1,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0
11,0,0,16,0,0,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6
10,0,0,16,1,0,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8
14,0,0,16,1,0,0,2,2,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0
7,0,0,16,1,0,0,3,1,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5
0,0,0,16,1,0,0,3,3,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0
11,0,0,16,1,0,0,3,4,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16
10,0,0,16,1,0,1,1,1,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6
11,0,0,16,1,0,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6
0,0,0,16,1,0,1,1,3,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0
10,0,0,16,1,0,1,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2
12,0,0,16,1,0,1,2,1,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20
13,0,0,16,1,0,1,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6
0,0,0,16,1,0,1,2,2,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0
8,0,0,16,1,0,1,2,2,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0
11,0,0,16,1,0,1,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0
11,0,0,16,1,0,1,2,2,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2
8,0,0,16,1,0,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14
10,0,0,16,1,0,1,2,3,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6
13,0,0,16,1,0,1,2,3,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10
17,0,0,16,1,0,1,2,3,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2
6,0,0,16,1,0,1,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4
12,0,0,16,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14
10,0,0,16,1,0,1,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4
8,0,0,16,1,0,1,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0
10,0,0,16,1,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4
11,0,0,16,1,0,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54
5,0,0,16,1,0,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12
16,0,0,16,1,0,1,4,2,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0
16,0,0,16,1,0,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2
10,0,0,16,1,0,1,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0
16,0,0,16,1,0,1,4,3,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2
8,0,0,16,1,0,1,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0
9,0,0,16,1,0,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2
13,0,0,16,1,0,1,4,3,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10
14,0,0,16,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0
14,0,0,16,1,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4
14,0,0,16,1,0,1,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6
14,0,0,16,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6
14,0,0,16,1,0,1,4,4,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0
11,0,0,16,1,1,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12
13,0,0,16,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2
9,0,0,16,1,1,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4
6,0,0,16,1,1,1,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4
9,0,0,16,1,1,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14
11,0,0,16,1,1,1,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25
13,0,0,16,1,1,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2
13,0,0,16,1,1,1,2,4,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2
6,0,0,16,1,1,1,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4
9,0,0,16,1,1,1,3,3,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4
15,0,0,16,1,1,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2
16,0,0,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4
10,0,0,16,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0
10,0,0,17,0,0,0,3,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,2,4
11,0,0,17,0,0,1,2,1,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2
6,0,0,17,0,0,1,2,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2
6,0,0,17,0,0,1,2,2,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18
14,0,0,17,0,0,1,2,4,1,3,0,0,1,0,0,1,1,1,1,4,4,3,1,1,5,7
10,0,0,17,0,0,1,3,4,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0
7,0,0,17,0,0,1,4,3,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6
11,0,0,17,0,1,1,2,2,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3
18,0,0,17,0,1,1,3,1,2,4,0,0,1,1,0,1,1,0,0,3,1,2,1,1,3,6
10,0,0,17,0,1,1,4,4,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12
12,0,0,17,1,0,0,2,1,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10
0,0,0,17,1,0,0,2,2,1,2,1,0,1,0,0,1,1,1,1,3,3,1,1,2,4,0
9,0,0,17,1,0,0,3,3,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6
13,0,0,17,1,0,0,4,3,1,2,0,0,1,1,0,1,1,1,1,5,2,2,1,2,5,23
6,0,0,17,1,0,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6
6,0,0,17,1,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4
0,0,0,17,1,0,1,1,1,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0
9,0,0,17,1,0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0
10,0,0,17,1,0,1,1,1,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4
12,0,0,17,1,0,1,1,1,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6
10,0,0,17,1,0,1,2,2,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4
11,0,0,17,1,0,1,2,2,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4
9,0,0,17,1,0,1,2,2,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,12
8,0,0,17,1,0,1,2,3,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3
10,0,0,17,1,0,1,2,4,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2
17,0,0,17,1,0,1,2,4,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0
15,0,0,17,1,0,1,3,1,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,1
18,0,0,17,1,0,1,3,2,1,4,0,0,1,1,1,0,1,1,0,5,2,2,1,2,5,0
15,0,0,17,1,0,1,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10
0,0,0,17,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0
9,0,0,17,1,0,1,3,3,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4
9,0,0,17,1,0,1,3,4,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28
15,0,0,17,1,0,1,3,4,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16
14,0,0,17,1,0,1,4,2,2,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0
15,0,0,17,1,0,1,4,3,1,3,0,0,1,1,1,1,1,1,1,4,4,3,1,3,4,0
15,0,0,17,1,0,1,4,3,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0
4,0,0,17,1,0,1,4,3,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22
12,0,0,17,1,0,1,4,4,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0
18,0,0,17,1,0,1,4,4,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24
9,0,0,17,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7
9,0,0,17,1,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7
14,0,0,17,1,0,1,4,4,2,3,0,0,1,1,0,0,1,1,1,4,3,3,1,2,4,4
15,0,0,17,1,1,1,0,2,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0
12,0,0,17,1,1,1,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12
12,0,0,17,1,1,1,2,2,2,2,0,1,1,1,0,1,1,1,1,4,4,4,2,3,5,6
0,0,0,17,1,1,1,2,2,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0
15,0,0,17,1,1,1,2,4,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0
15,0,0,17,1,1,1,3,2,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2
8,0,0,17,1,1,1,3,3,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56
13,0,0,17,1,1,1,4,2,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6
14,0,0,17,1,1,1,4,3,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14
9,0,0,18,0,0,0,3,2,2,2,0,0,0,0,0,0,0,1,1,4,1,1,1,1,5,75
10,0,0,18,0,0,1,1,1,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6
0,0,0,18,0,0,1,2,1,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,0
0,0,0,18,0,0,1,2,2,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,0
7,0,0,18,0,0,1,3,1,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16
11,0,0,18,0,0,1,4,4,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8
12,0,0,18,0,1,1,1,1,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1
6,0,0,18,1,0,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6
10,0,0,18,1,0,1,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4
10,0,0,18,1,0,1,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4
0,0,0,18,1,0,1,2,1,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0
0,0,0,18,1,0,1,2,1,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,2,1,0
19,0,0,18,1,0,1,2,2,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5
0,0,0,18,1,0,1,2,2,1,3,0,0,1,1,1,1,1,1,1,4,3,3,1,1,3,0
10,0,0,18,1,0,1,2,3,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,4
14,0,0,18,1,0,1,2,3,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4
14,0,0,18,1,0,1,3,2,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,7
0,0,0,18,1,0,1,3,3,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,0
9,0,0,18,1,0,1,4,3,1,3,0,0,1,1,1,1,1,1,1,4,3,4,1,1,5,9
14,0,0,18,1,0,1,4,3,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0
18,0,0,18,1,0,1,4,3,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21
8,0,0,18,1,0,1,4,4,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15
11,0,0,18,1,0,1,4,4,1,2,0,0,1,1,0,1,1,1,0,4,4,4,3,3,5,2
11,0,0,18,1,1,0,4,4,1,2,0,0,1,0,0,1,1,1,1,4,2,4,1,1,4,14
11,0,0,18,1,1,1,1,1,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2
0,0,0,18,1,1,1,2,2,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0
17,0,0,18,1,1,1,3,3,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,7
8,0,0,18,1,1,1,4,3,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10
9,0,0,19,1,0,1,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2
8,0,0,19,1,0,1,3,3,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10
9,0,0,19,1,0,1,3,3,1,2,2,0,1,1,1,1,1,1,0,4,3,5,3,3,5,15
0,0,0,19,1,0,1,4,4,2,2,0,0,1,1,1,1,1,1,0,2,3,4,2,3,2,0
9,0,1,15,0,0,1,2,1,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8
8,0,1,15,0,0,1,2,3,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2
0,0,1,15,0,0,1,3,4,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0
16,0,1,15,0,0,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0
13,0,1,15,0,0,1,4,4,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6
16,0,1,15,1,0,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0
18,0,1,15,1,0,0,3,4,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0
12,0,1,15,1,0,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4
11,0,1,15,1,0,1,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2
11,0,1,15,1,0,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0
15,0,1,15,1,0,1,2,2,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6
11,0,1,15,1,0,1,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4
12,0,1,15,1,0,1,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2
15,0,1,15,1,0,1,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0
